"","Year","Block","Aphid.Treatment","Ant.Mound.Dist","Genotype","Plant_Position","plant.id","Dead","leaf_count","Height","mature.shoot.count","immature.shoot.count","all.shoot.count","mature.shoot.total.length","mature.shoot.avg.length","leaf_WC","leaf_percent.browned","leaf_trichome.density","all.shoot.total.length","all.shoot.avg.length"
"153",2012,"3","aphid",6,"J",33,"3.33",0,11,51,3,0,3,19.5,1.08333333333333,NA,NA,NA,NA,NA
"154",2012,"3","aphid",6,"F",34,"3.34",0,9,46,3,0,3,9.9,0.55,NA,NA,NA,NA,NA
"155",2012,"3","none",6,"F",35,"3.35",0,13,48,4,0,4,15,0.833333333333333,NA,10,NA,NA,NA
"156",2012,"3","none",6,"U",36,"3.36",0,7,51,3,0,3,23,1.27777777777778,2.11111111111111,2,3,NA,NA
"157",2012,"3","aphid",6,"L",37,"3.37",0,7,53,9,0,9,36,2,2.1875,0,49,NA,NA
"158",2012,"3","none",6,"W",38,"3.38",0,20,52,4,0,4,28.5,1.58333333333333,NA,NA,NA,NA,NA
"159",2012,"3","none",6,"L",39,"3.39",0,42,51,10,0,10,36.8,2.04444444444444,1.6,0,0,NA,NA
"160",2012,"3","none",6,"J",40,"3.40",0,35,53,9,0,9,29.5,1.63888888888889,NA,NA,NA,NA,NA
"161",2012,"3","aphid",12,"T",41,"3.41",0,2,56,1,0,1,8.5,0.472222222222222,NA,NA,NA,NA,NA
"162",2012,"3","aphid",12,"X",42,"3.42",0,2,52,2,1,3,9.5,0.527777777777778,NA,NA,NA,NA,NA
"163",2012,"3","aphid",12,"S",43,"3.43",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164",2012,"3","aphid",12,"G",44,"3.44",0,5,19,3,2,5,9.5,0.527777777777778,NA,NA,NA,NA,NA
"165",2012,"3","aphid",12,"I",45,"3.45",0,3,16,1,3,4,3.5,0.194444444444444,NA,NA,NA,NA,NA
"166",2012,"3","none",12,"T",46,"3.46",0,0,14,0,6,6,0,0,NA,NA,NA,NA,NA
"167",2012,"3","none",12,"G",47,"3.47",0,0,8,0,2,2,0,0,NA,NA,NA,NA,NA
"168",2012,"3","none",12,"I",48,"3.48",0,0,16,0,4,4,0,0,NA,NA,NA,NA,NA
"169",2012,"3","none",12,"X",49,"3.49",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170",2012,"3","aphid",12,"F",50,"3.50",0,7,10,1,5,6,7,0.388888888888889,NA,NA,NA,NA,NA
"171",2012,"3","aphid",12,"U",51,"3.51",0,0,47,0,1,1,0,0,NA,NA,NA,NA,NA
"172",2012,"3","none",12,"F",52,"3.52",0,6,12,2,0,2,6,0.333333333333333,NA,NA,NA,NA,NA
"173",2012,"3","none",12,"S",53,"3.53",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174",2012,"3","aphid",12,"W",54,"3.54",0,17,44,4,0,4,18,1,NA,NA,NA,NA,NA
"175",2012,"3","none",12,"W",55,"3.55",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176",2012,"3","aphid",12,"J",56,"3.56",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177",2012,"3","none",12,"U",57,"3.57",0,0,9,0,3,3,0,0,NA,NA,NA,NA,NA
"178",2012,"3","none",12,"J",58,"3.58",0,5,17,2,0,2,13,0.722222222222222,NA,NA,NA,NA,NA
"179",2012,"3","aphid",12,"L",59,"3.59",0,1,7,1,0,1,3,0.166666666666667,NA,NA,NA,NA,NA
"180",2012,"3","none",12,"L",60,"3.60",0,0,13,0,5,5,0,0,NA,NA,NA,NA,NA
"181",2012,"4","aphid",1,"G",1,"4.1",0,3,2.5,1,2,3,3.5,0.194444444444444,NA,NA,NA,NA,NA
"182",2012,"4","aphid",1,"X",2,"4.2",0,15,47.5,2,0,2,18,1,1.83333333333333,0,53,NA,NA
"183",2012,"4","none",1,"X",3,"4.3",0,13,47.5,2,0,2,14.5,0.805555555555556,1.7027027027027,0.5,36,NA,NA
"184",2012,"4","aphid",1,"I",4,"4.4",0,2,40,1,4,5,7,0.388888888888889,NA,NA,NA,NA,NA
"185",2012,"4","none",1,"I",5,"4.5",0,16,14,3,0,3,15,0.833333333333333,4.19354838709677,3,48,NA,NA
"186",2012,"4","none",1,"G",6,"4.6",0,0,17,0,5,5,0,0,NA,NA,NA,NA,NA
"187",2012,"4","aphid",1,"T",7,"4.7",0,0,29.5,0,5,5,0,0,NA,NA,NA,NA,NA
"188",2012,"4","none",1,"T",8,"4.8",0,5,52,2,0,2,20.9,1.16111111111111,NA,NA,NA,NA,NA
"189",2012,"4","aphid",1,"F",9,"4.9",0,3,18,1,4,5,5.5,0.305555555555556,NA,NA,NA,NA,NA
"190",2012,"4","none",1,"F",10,"4.10",0,3,15,1,2,3,4,0.222222222222222,NA,NA,NA,NA,NA
"191",2012,"4","aphid",1,"W",11,"4.11",0,9,50,2,0,2,14.5,0.805555555555556,1.94117647058824,1,17,NA,NA
"192",2012,"4","aphid",1,"U",12,"4.12",0,0,49,0,7,7,0,0,NA,NA,NA,NA,NA
"193",2012,"4","aphid",1,"S",13,"4.13",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194",2012,"4","aphid",1,"J",14,"4.14",0,3,52,1,4,5,10.5,0.583333333333333,NA,NA,NA,NA,NA
"195",2012,"4","none",1,"U",15,"4.15",0,2,53.5,1,3,4,9,0.5,NA,NA,NA,NA,NA
"196",2012,"4","none",1,"J",16,"4.16",0,9,53,3,0,3,25,1.38888888888889,NA,NA,NA,NA,NA
"197",2012,"4","none",1,"W",17,"4.17",0,12,52.5,3,0,3,21.2,1.17777777777778,1.92452830188679,1,29,NA,NA
"198",2012,"4","aphid",1,"L",18,"4.18",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199",2012,"4","none",1,"L",19,"4.19",0,0,25,0,7,7,0,0,NA,NA,NA,NA,NA
"200",2012,"4","none",1,"S",20,"4.20",0,11,22,3,0,3,22,1.22222222222222,NA,NA,NA,NA,NA
"201",2012,"4","aphid",6,"I",21,"4.21",0,11,44,3,0,3,12,0.666666666666667,3.31034482758621,0,5,NA,NA
"202",2012,"4","none",6,"I",22,"4.22",0,1,18.5,1,4,5,2,0.111111111111111,NA,NA,NA,NA,NA
"203",2012,"4","aphid",6,"X",23,"4.23",0,3,41,1,0,1,10,0.555555555555556,2.3625,2,61,NA,NA
"204",2012,"4","none",6,"X",24,"4.24",0,6,20,2,0,2,15.5,0.861111111111111,1.77894736842105,0.5,2,NA,NA
"205",2012,"4","aphid",6,"F",25,"4.25",0,0,4.5,0,2,2,0,0,NA,NA,NA,NA,NA
"206",2012,"4","none",6,"F",26,"4.26",0,0,21,0,6,6,0,0,NA,NA,NA,NA,NA
"207",2012,"4","aphid",6,"U",27,"4.27",0,1,47,1,0,1,13,0.722222222222222,NA,NA,NA,NA,NA
"208",2012,"4","aphid",6,"G",28,"4.28",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209",2012,"4","aphid",6,"W",29,"4.29",0,15,53,2,0,2,18.6,1.03333333333333,2.12048192771084,0.5,63,NA,NA
"210",2012,"4","none",6,"W",30,"4.30",0,17,46.5,5,0,5,24.5,1.36111111111111,NA,NA,NA,NA,NA
"211",2012,"4","none",6,"U",31,"4.31",0,7,49,3,1,4,11.5,0.638888888888889,NA,NA,NA,NA,NA
"212",2012,"4","aphid",6,"T",32,"4.32",0,5,59,1,1,2,13.5,0.75,NA,NA,NA,NA,NA
