"","Year","Block","Wind.Exposure","Genotype","plant_ID","Dead","Height","all.shoot.count","all.shoot.avg.length","leaf_trichome.density","leaf_WC","SLA","leaf_area.mm2","leaf_C_N","leaf_C.mg","leaf_N.mg","leaf_C.perc","leaf_N.perc","trait.PC1","trait.PC2","root_N.perc","root_N.mg","root_C.perc","root_C.mg","root_CN"
"123",2012,"7","Exposed","U","7EU3",0,34,4,1.34375,1,3.22857142857143,NA,NA,NA,NA,NA,NA,NA,0.56805209242452,1.22716499278402,NA,NA,NA,NA,NA
"124",2012,"7","Exposed","L","7EL4",0,30.5,11,1.6875,43,1.7741935483871,NA,NA,NA,NA,NA,NA,NA,3.05023852314405,1.58381569662018,NA,NA,NA,NA,NA
"125",2012,"7","Exposed","J","7EJ5",0,24,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.842491452973412,-0.427283091379235,NA,NA,NA,NA,NA
"126",2012,"7","Exposed","S","7ES6",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.42560051063142e-05,-0.000299954463162722,NA,NA,NA,NA,NA
"127",2012,"7","Exposed","T","7ET7",0,37,3,1.09375,0,1.875,NA,NA,NA,NA,NA,NA,NA,0.364364577644834,-0.958126060111823,NA,NA,NA,NA,NA
"128",2012,"7","Exposed","X","7EX8",0,34,4,1.15625,84,4.02816901408451,NA,NA,NA,NA,NA,NA,NA,0.4855772067983,5.30805006565425,NA,NA,NA,NA,NA
"129",2012,"7","Exposed","I","7EI9",0,26,3,0.65625,0,1.43589743589744,NA,NA,NA,NA,NA,NA,NA,-1.06054158322608,-1.28247382128358,NA,NA,NA,NA,NA
"130",2012,"7","Exposed","G","7EG10",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.42560051063142e-05,-0.000299954463162722,NA,NA,NA,NA,NA
"131",2012,"7","Unexposed","W","7UW1",0,35,5,1.40625,10,1.38202247191011,NA,NA,NA,NA,NA,NA,NA,1.38046475938573,-1.05287096113982,NA,NA,NA,NA,NA
"132",2012,"7","Unexposed","F","7UF2",0,32,4,0.6875,18,1.53333333333333,NA,NA,NA,NA,NA,NA,NA,-0.292794254686706,-0.51010427216543,NA,NA,NA,NA,NA
"133",2012,"7","Unexposed","J","7UJ3",0,44.5,5,1.5,1,2.11111111111111,NA,NA,NA,NA,NA,NA,NA,2.009742626477,-0.524710632044429,NA,NA,NA,NA,NA
"134",2012,"7","Unexposed","S","7US4",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.42560051063142e-05,-0.000299954463162722,NA,NA,NA,NA,NA
"135",2012,"7","Unexposed","L","7UL5",0,34,7,1.03125,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.10336781350583,0.549273945586614,NA,NA,NA,NA,NA
"136",2012,"7","Unexposed","U","7UU6",0,34.5,1,1.0625,0,1.47297297297297,NA,NA,NA,NA,NA,NA,NA,-0.253585110877206,-1.77429568883889,NA,NA,NA,NA,NA
"137",2012,"7","Unexposed","T","7UT7",0,33.5,6,0.96875,0,1.88461538461538,NA,NA,NA,NA,NA,NA,NA,0.612181818459526,-0.412416641363864,NA,NA,NA,NA,NA
"138",2012,"7","Unexposed","X","7UX8",0,32.5,5,0.96875,89,2.28571428571429,NA,NA,NA,NA,NA,NA,NA,0.65554539344864,3.13949695095539,NA,NA,NA,NA,NA
