"","Date_rel","Block","Genotype","Ant.mound.dist","Aphid.treatment","plant_ID","X","Aphis.growth.rate"
"224",14,"3","X",1,"aphid","3_1_aphid_X_1","421",-0.191962106671585
"225",14,"3","X",6,"aphid","3_6_aphid_X_21","441",-0.2299197017763
"226",14,"3","X",12,"aphid","3_12_aphid_X_42","462",-0.2299197017763
"227",14,"4","F",1,"aphid","4_1_aphid_F_9","489",-0.0332317564669648
"228",14,"4","F",6,"aphid","4_6_aphid_F_25","505",-0.2299197017763
"229",14,"4","F",12,"aphid","4_12_aphid_F_45","525",-0.0729750891094272
"230",14,"4","G",1,"aphid","4_1_aphid_G_1","481",-0.2299197017763
"231",14,NA,NA,NA,NA,"4_6_aphid_G_28",NA,NA
"232",14,"4","I",1,"aphid","4_1_aphid_I_4","484",-0.2299197017763
"233",14,"4","I",6,"aphid","4_6_aphid_I_21","501",-0.2299197017763
"234",14,"4","I",12,"aphid","4_12_aphid_I_41","521",-0.2299197017763
"235",14,"4","J",1,"aphid","4_1_aphid_J_14","494",-0.130898675982022
"236",14,"4","J",6,"aphid","4_6_aphid_J_37","517",0.0226034293164135
"237",14,"4","J",12,"aphid","4_12_aphid_J_57","537",-0.2299197017763
"238",14,"4","L",6,"aphid","4_6_aphid_L_33","513",-0.42063413988092
"239",14,"4","L",12,"aphid","4_12_aphid_L_53","533",-0.2299197017763
"240",14,NA,NA,NA,NA,"4_1_aphid_S_13",NA,NA
"241",14,"4","S",6,"aphid","4_6_aphid_S_39","519",-0.386864314443173
"242",14,"4","S",12,"aphid","4_12_aphid_S_58","538",-0.2299197017763
"243",14,"4","T",1,"aphid","4_1_aphid_T_7","487",0
"244",14,"4","T",6,"aphid","4_6_aphid_T_32","512",-0.2299197017763
"245",14,"4","T",12,"aphid","4_12_aphid_T_54","534",-0.2299197017763
"246",14,"4","U",1,"aphid","4_1_aphid_U_12","492",-0.018458818782858
"247",14,"4","U",6,"aphid","4_6_aphid_U_27","507",0.0220215256896083
"248",14,"4","U",12,"aphid","4_12_aphid_U_49","529",-0.00361682971204142
"249",14,"4","W",1,"aphid","4_1_aphid_W_11","491",0.0735948607663699
"250",14,"4","W",6,"aphid","4_6_aphid_W_29","509",0.2299197017763
"251",14,"4","W",12,"aphid","4_12_aphid_W_46","526",0.112636765766324
"252",14,"4","X",1,"aphid","4_1_aphid_X_2","482",-0.041097438921683
"253",14,"4","X",6,"aphid","4_6_aphid_X_23","503",-0.2299197017763
"254",14,"4","X",12,"aphid","4_12_aphid_X_42","522",-0.130898675982022
"255",14,"5","F",1,"aphid","5_1_aphid_F_4","544",0.0990210257942779
"256",14,"5","F",6,"aphid","5_6_aphid_F_21","561",-0.2299197017763
"257",14,"5","F",12,"aphid","5_12_aphid_F_47","587",-0.292527549052179
"258",14,"5","G",1,"aphid","5_1_aphid_G_8","548",-0.2299197017763
"259",14,"5","G",6,"aphid","5_6_aphid_G_30","570",-0.2299197017763
"260",14,"5","G",12,"aphid","5_12_aphid_G_45","585",-0.2299197017763
"261",14,"5","I",1,"aphid","5_1_aphid_I_2","542",-0.2299197017763
"262",14,"5","I",6,"aphid","5_6_aphid_I_31","571",-0.2299197017763
"263",14,"5","I",12,"aphid","5_12_aphid_I_50","590",-0.2299197017763
"264",14,"5","J",1,"aphid","5_1_aphid_J_12","552",-0.2299197017763
"265",14,"5","J",6,"aphid","5_6_aphid_J_26","566",-0.2299197017763
"266",14,"5","J",12,"aphid","5_12_aphid_J_48","588",-0.2299197017763
"267",14,"5","L",1,"aphid","5_1_aphid_L_16","556",-0.2299197017763
"268",14,"5","L",6,"aphid","5_6_aphid_L_29","569",-0.168379285191664
"269",14,"5","S",1,"aphid","5_1_aphid_S_15","555",-0.2299197017763
"270",14,"5","S",6,"aphid","5_6_aphid_S_32","572",-0.2299197017763
"271",14,"5","T",1,"aphid","5_1_aphid_T_11","551",0.0671433756065336
"272",14,"5","T",6,"aphid","5_6_aphid_T_34","574",-0.2299197017763
"273",14,"5","T",12,"aphid","5_12_aphid_T_46","586",-0.2299197017763
"274",14,"5","U",1,"aphid","5_1_aphid_U_9","549",-0.2299197017763
"275",14,"5","U",6,"aphid","5_6_aphid_U_36","576",-0.328940727570578
"276",14,"5","U",12,"aphid","5_12_aphid_U_56","596",-0.2299197017763
"277",14,"5","W",1,"aphid","5_1_aphid_W_6","546",-0.130898675982022
"278",14,"5","W",6,"aphid","5_6_aphid_W_22","562",0.0579235868725949
"279",14,"5","W",12,"aphid","5_12_aphid_W_41","581",0.0469291524245765
"280",14,"5","X",1,"aphid","5_1_aphid_X_1","541",-0.2299197017763
"281",14,"5","X",6,"aphid","5_6_aphid_X_25","565",-0.2299197017763
"282",14,"5","X",12,"aphid","5_12_aphid_X_42","582",-0.2299197017763
"283",25,"1","F",1,"aphid","1_1_aphid_F_4","604",-0.146312537494009
"284",25,"1","F",6,"aphid","1_6_aphid_F_26","626",-0.35192736462799
"285",25,"1","F",12,"aphid","1_12_aphid_F_54","654",-0.146312537494009
"286",25,"1","G",1,"aphid","1_1_aphid_G_1","601",0
"287",25,"1","G",6,"aphid","1_6_aphid_G_24","624",-0.146312537494009
"288",25,"1","G",12,"aphid","1_12_aphid_G_42","642",-0.146312537494009
"289",25,"1","I",1,"aphid","1_1_aphid_I_15","615",-0.121797667771363
"290",25,NA,NA,NA,NA,"1_6_aphid_I_36",NA,NA
"291",25,"1","I",12,"aphid","1_12_aphid_I_57","657",NA
"292",25,"1","J",1,"aphid","1_1_aphid_J_6","606",-0.146312537494009
"293",25,"1","J",6,"aphid","1_6_aphid_J_29","629",-0.369131182776947
"294",25,"1","J",12,"aphid","1_12_aphid_J_46","646",-0.162887224475278
"295",25,"1","L",1,"aphid","1_1_aphid_L_14","614",-0.285044928720832
"296",25,"1","L",6,"aphid","1_6_aphid_L_35","635",-0.146312537494009
"297",25,"1","L",12,"aphid","1_12_aphid_L_53","653",-0.142601447083077
"298",25,"1","S",1,"aphid","1_1_aphid_S_13","613",-0.146312537494009
"299",25,"1","S",6,"aphid","1_6_aphid_S_32","632",-0.189040140152712
