Plant Position within Willow Garden for cutting,Genotype,Plants Greenhouse Letter,Plant Greenhouse Number,Cutting Length,Random Number,Experiment,Block,Aphids or No-Aphids,Distant to Ant Mound,Plant Position,
23,S,C,3,60,0.815639113,Field Ant,4,aphid,6,39,
23,S,I,1,60,0.822629872,Field Ant,4,none,6,40,
479,I,H,6,60,0.644254058,Field Ant,4,aphid,12,41,
486,X,I,3,60,0.652787922,Field Ant,4,aphid,12,42,
486,X,I,1,60,0.664499922,Field Ant,4,none,12,43,
479,I,C,1,60,0.675535486,Field Ant,4,none,12,44,
257,F,C,7,60,0.706773172,Field Ant,4,aphid,12,45,
304,W,B,4,60,0.731191567,Field Ant,4,aphid,12,46,
257,F,F,4,60,0.733012097,Field Ant,4,none,12,47,
304,W,F,6,60,0.735269854,Field Ant,4,none,12,48,
294,U,G,3,60,0.744166098,Field Ant,4,aphid,12,49,
294,U,A,1,60,0.747062859,Field Ant,4,none,12,50,
472,G,D,4,60,0.769743409,Field Ant,4,aphid,12,51,
472,G,B,6,60,0.770084698,Field Ant,4,none,12,52,
530,L,C,7,60,0.784327535,Field Ant,4,aphid,12,53,
113,T,C,5,60,0.785307224,Field Ant,4,aphid,12,54,
113,T,F,4,60,0.820970198,Field Ant,4,none,12,55,
530,L,F,6,60,0.825771741,Field Ant,4,none,12,56,
41,J,D,4,60,0.826977249,Field Ant,4,aphid,12,57,
23,S,H,2,60,0.830839738,Field Ant,4,aphid,12,58,
41,J,G,1,60,0.833096314,Field Ant,4,none,12,59,
23,S,C,1,60,0.836562731,Field Ant,4,none,12,60,
487,X,F,4,60,0.689056789,Field Ant,5,aphid,1,1,
479,I,C,7,60,0.702116558,Field Ant,5,aphid,1,2,
479,I,A,7,60,0.721477827,Field Ant,5,none,1,3,
257,F,F,2,60,0.736117741,Field Ant,5,aphid,1,4,
257,F,E,1,60,0.758498612,Field Ant,5,none,1,5,
304,W,E,7,60,0.759555803,Field Ant,5,aphid,1,6,
304,W,D,2,60,0.784289945,Field Ant,5,none,1,7,
472,G,E,5,60,0.792753731,Field Ant,5,aphid,1,8,
294,U,H,4,60,0.804849466,Field Ant,5,aphid,1,9,
487,X,G,5,60,0.816355886,Field Ant,5,none,1,10,
113,T,B,4,60,0.851102484,Field Ant,5,aphid,1,11,
41,J,E,1,60,0.852724126,Field Ant,5,aphid,1,12,
41,J,B,2,60,0.854470097,Field Ant,5,none,1,13,
294,U,A,5,60,0.856675484,Field Ant,5,none,1,14,
23,S,E,3,60,0.859670844,Field Ant,5,aphid,1,15,
530,L,B,2,60,0.874016694,Field Ant,5,aphid,1,16,
472,G,C,7,60,0.875466408,Field Ant,5,none,1,17,
530,L,H,2,60,0.87929903,Field Ant,5,none,1,18,
113,T,I,1,60,0.891886724,Field Ant,5,none,1,19,
23,S,F,6,60,0.915429938,Field Ant,5,none,1,20,
257,F,B,4,60,0.780587674,Field Ant,5,aphid,6,21,
304,W,A,3,60,0.805185221,Field Ant,5,aphid,6,22,
304,W,F,2,60,0.806286614,Field Ant,5,none,6,23,
257,F,C,5,60,0.821112279,Field Ant,5,none,6,24,
487,X,D,2,60,0.834396271,Field Ant,5,aphid,6,25,
41,J,C,1,60,0.855667089,Field Ant,5,aphid,6,26,
41,J,D,6,60,0.866319661,Field Ant,5,none,6,27,
487,X,D,6,60,0.882163438,Field Ant,5,none,6,28,
530,L,A,3,60,0.885420092,Field Ant,5,aphid,6,29,
472,G,G,3,60,0.887067879,Field Ant,5,aphid,6,30,
479,I,A,1,60,0.906322924,Field Ant,5,aphid,6,31,
23,S,G,7,60,0.9177577,Field Ant,5,aphid,6,32,
23,S,C,7,60,0.920874092,Field Ant,5,none,6,33,
113,T,C,7,60,0.928390578,Field Ant,5,aphid,6,34,
472,G,B,4,60,0.933319102,Field Ant,5,none,6,35,
294,U,H,2,60,0.935908833,Field Ant,5,aphid,6,36,
113,T,F,6,60,0.938707499,Field Ant,5,none,6,37,
294,U,F,2,60,0.944739894,Field Ant,5,none,6,38,
479,I,A,5,60,0.948490773,Field Ant,5,none,6,39,
530,L,C,1,60,0.962516749,Field Ant,5,none,6,40,
304,W,B,6,60,0.871631355,Field Ant,5,aphid,12,41,
487,X,C,3,60,0.884734076,Field Ant,5,aphid,12,42,
304,W,C,3,60,0.898064769,Field Ant,5,none,12,43,
487,X,B,4,60,0.903956712,Field Ant,5,none,12,44,
472,G,A,3,60,0.938517692,Field Ant,5,aphid,12,45,
113,T,I,3,60,0.943730504,Field Ant,5,aphid,12,46,
257,F,E,7,60,0.94682508,Field Ant,5,aphid,12,47,
41,J,G,3,60,0.952464851,Field Ant,5,aphid,12,48,
41,J,H,6,60,0.955505824,Field Ant,5,none,12,49,
479,I,F,4,60,0.967661331,Field Ant,5,aphid,12,50,
