"","Kingdom","Phylum","Class","Order","Family","Genus","Species","Confidence.Ranking","Growth.Morphology","Guild","Confidence.Ranking.1"
"OTU_961","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Claroideoglomeraceae","unidentified","uncultured Claroideoglomus","Highly Probable","NULL","Arbuscular Mycorrhizal","Highly Probable"
"OTU_242","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","Sebacina","Sebacina sp","Possible","NULL","Ectomycorrhizal","Possible"
"OTU_476","Fungi","Ascomycota","Sordariomycetes","Coniochaetales","unidentified","unidentified","Coniochaetales sp","-","-","-","-"
"OTU_740","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Capnodiaceae","Capnodium","Capnodium sp","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_71","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota sp","-","-","-","-"
"OTU_633","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Incertae sedis","Dioszegia","Dioszegia sp YM24626","Probable","Yeast","Undefined Saprotroph","Probable"
"OTU_474","Fungi","Basidiomycota","Tremellomycetes","unidentified","unidentified","unidentified","Tremellomycetes sp","-","-","-","-"
"OTU_482","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Podospora","Podospora dakotensis","Highly Probable","NULL","Dung Saprotroph-Undefined Saprotroph","Highly Probable"
"OTU_300","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","Fungi sp","-","-","-","-"
"OTU_343","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","Fungi sp","-","-","-","-"
"OTU_288","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","Fungi sp","-","-","-","-"
"OTU_495","Fungi","Zygomycota","Incertae sedis","Mortierellales","Mortierellaceae","Mortierella","Mortierella beljakovae","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_772","Fungi","Zygomycota","Incertae sedis","Mortierellales","Mortierellaceae","Mortierella","Mortierella sp","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_524","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Scedosporium","Scedosporium prolificans","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_282","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Thanatephorus","Thanatephorus fusisporus","Probable","NULL","Plant Pathogen","Probable"
"OTU_1536","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus","Rhizophagus irregularis","Highly Probable","NULL","Arbuscular Mycorrhizal","Highly Probable"
"OTU_353","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","Fungi sp","-","-","-","-"
"OTU_609","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Incertae sedis","Periconia","Periconia sp","Possible","NULL","Plant Pathogen-Undefined Endophyte-Wood Saprotroph","Possible"
