"","Kingdom","Phylum","Class","Order","Family","Genus","Species","Confidence.Ranking","Growth.Morphology","Guild","Confidence.Ranking.1"
"OTU_143","Fungi","Ascomycota","Sordariomycetes","Hypocreales","unidentified","unidentified","Hypocreales sp","Possible","Mold","Undefined Saprotroph","Possible"
"OTU_320","Fungi","Zygomycota","Incertae sedis","Mortierellales","unidentified","unidentified","Mortierellales sp","-","-","-","-"
"OTU_511","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales","Incertae sedis","Sporobolomyces","Sporobolomyces ruberrimus","Probable","Facultative Yeast","Mycoparasite","Probable"
"OTU_461","Fungi","Basidiomycota","Agaricomycetes","Boletales","Sclerodermataceae","Scleroderma","Scleroderma sp","Highly Probable","Gasteroid","Ectomycorrhizal","Highly Probable"
"OTU_1013","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Teratosphaeriaceae","Devriesia","Devriesia sp","Probable","NULL","Plant Pathogen","Probable"
"OTU_231","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Incertae sedis","Cryptococcus","Cryptococcus laurentii","Highly Probable","Yeast","Animal Pathogen-Saprotroph","Highly Probable"
"OTU_1765","Fungi","Ascomycota","Leotiomycetes","Incertae sedis","Incertae sedis","Meliniomyces","Meliniomyces bicolor","Probable","Dark Septate Endophyte","Ectomycorrhizal-Saprotroph","Probable"
"OTU_706","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales","Incertae sedis","Rhodotorula","Rhodotorula lamellibrachiae","Probable","NULL","Animal Symbiont-Undefined Saprotroph","Probable"
"OTU_720","Fungi","Ascomycota","Dothideomycetes","Pleosporales","unidentified","unidentified","Pleosporales sp","-","-","-","-"
"OTU_891","Fungi","Zygomycota","Incertae sedis","Mortierellales","Mortierellaceae","Mortierella","Mortierella sp","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_212","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Cryptococcus","Cryptococcus wieringae","Highly Probable","Yeast","Animal Pathogen-Saprotroph","Highly Probable"
"OTU_803","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Incertae sedis","Cryptococcus","Cryptococcus sp","Highly Probable","Yeast","Animal Pathogen-Saprotroph","Highly Probable"
"OTU_1105","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Penicillium","Penicillium sp AHBR14","Highly Probable","NULL","Dung Saprotroph-Undefined Saprotroph-Wood Saprotroph","Highly Probable"
"OTU_256","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Incertae sedis","Tremella","Tremella mycophaga","Probable","Facultative Yeast","Mycoparasite","Probable"
"OTU_582","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales","Incertae sedis","unidentified","Sporidiobolales sp","-","-","-","-"
"OTU_575","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Ophiocordycipitaceae","Haptocillium","Haptocillium sinense","Probable","NULL","Animal Pathogen","Probable"
"OTU_142","Fungi","Ascomycota","Leotiomycetes","Helotiales","unidentified","unidentified","Helotiales sp","-","-","-","-"
"OTU_308","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","Tomentella sp","Highly Probable","Resupinate","Ectomycorrhizal","Highly Probable"
"OTU_799","Fungi","Ascomycota","Dothideomycetes","Pleosporales","unidentified","unidentified","Pleosporales sp","-","-","-","-"
"OTU_332","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius","Lactarius sp IH_2011","Highly Probable","Agaricoid","Ectomycorrhizal","Highly Probable"
"OTU_1793","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","Cortinarius sp","Highly Probable","NULL","Ectomycorrhizal","Highly Probable"
"OTU_342","Fungi","Ascomycota","Sordariomycetes","unidentified","unidentified","unidentified","Sordariomycetes sp","-","-","-","-"
"OTU_386","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Cryptococcus","Cryptococcus gastricus","Highly Probable","Yeast","Animal Pathogen-Saprotroph","Highly Probable"
"OTU_127","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Apiosordaria","Apiosordaria sp","Highly Probable","NULL","Dung Saprotroph-Undefined Saprotroph","Highly Probable"
"OTU_515","Fungi","Ascomycota","Incertae sedis","Incertae sedis","Incertae sedis","Zymoseptoria","Zymoseptoria brevis","-","-","-","-"
"OTU_388","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota sp","-","-","-","-"
"OTU_109","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Incertae sedis","Candida","Candida sp","Possible","Yeast","Undefined Saprotroph","Possible"
"OTU_419","Fungi","Zygomycota","Incertae sedis","Mortierellales","Mortierellaceae","Mortierella","Mortierella gamsii","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_425","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Williopsis","Williopsis sp","Possible","Yeast","Undefined Saprotroph","Possible"
"OTU_1345","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Rhizoscyphus","Rhizoscyphus ericae","Highly Probable","Dark Septate Endophyte","Ericoid Mycorrhizal","Highly Probable"
"OTU_394","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula sp","Highly Probable","Agaricoid","Ectomycorrhizal","Highly Probable"
"OTU_218","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Penicillium","Penicillium sp AHBR14","Highly Probable","NULL","Dung Saprotroph-Undefined Saprotroph-Wood Saprotroph","Highly Probable"
"OTU_149","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","unidentified","Sebacinaceae sp","-","-","-","-"
"OTU_317","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota sp","-","-","-","-"
"OTU_486","Fungi","Ascomycota","Dothideomycetes","Incertae sedis","Myxotrichaceae","Oidiodendron","Oidiodendron sp","Probable","Dark Septate Endophyte","Ericoid Mycorrhizal","Probable"
"OTU_255","Fungi","Ascomycota","Sordariomycetes","Sordariales","unidentified","unidentified","Sordariales sp","-","-","-","-"
"OTU_233","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","Fungi sp","-","-","-","-"
"OTU_481","Fungi","Zygomycota","Incertae sedis","Mortierellales","Mortierellaceae","Mortierella","Mortierella globulifera","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_392","Fungi","Ascomycota","Sordariomycetes","Sordariales","unidentified","unidentified","Sordariales sp","-","-","-","-"
"OTU_600","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","unidentified","Microascaceae sp","-","-","-","-"
"OTU_75","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Strophariaceae","Alnicola","Alnicola macrospora","Highly Probable","Agaricoid","Ectomycorrhizal","Highly Probable"
"OTU_562","Fungi","Chytridiomycota","unidentified","unidentified","unidentified","unidentified","Chytridiomycota sp","-","-","-","-"
"OTU_492","Fungi","Basidiomycota","Agaricomycetes","Trechisporales","Hydnodontaceae","Trechispora","Trechispora sp","Highly Probable","Resupinate","Wood Saprotroph","Highly Probable"
"OTU_622","Fungi","Basidiomycota","Agaricomycetes","Agaricales","unidentified","unidentified","Agaricales sp","-","-","-","-"
"OTU_465","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","unidentified","Nectriaceae sp","Possible","Mold","Undefined Saprotroph","Possible"
"OTU_316","Fungi","Ascomycota","Sordariomycetes","unidentified","unidentified","unidentified","Sordariomycetes sp","-","-","-","-"
"OTU_806","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Penicillium","Penicillium citreonigrum","Highly Probable","NULL","Dung Saprotroph-Undefined Saprotroph-Wood Saprotroph","Highly Probable"
"OTU_293","Fungi","Ascomycota","Leotiomycetes","Helotiales","unidentified","unidentified","Helotiales sp","-","-","-","-"
"OTU_78","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Entoloma","Entoloma sericeum","Possible","Agaricoid","Ectomycorrhizal-Saprotroph","Possible"
"OTU_310","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus","Rhizophagus irregularis","Highly Probable","NULL","Arbuscular Mycorrhizal","Highly Probable"
"OTU_523","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales","Incertae sedis","Rhodotorula","Rhodotorula mucilaginosa","Probable","NULL","Animal Symbiont-Undefined Saprotroph","Probable"
"OTU_263","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","Cortinarius sp","Highly Probable","NULL","Ectomycorrhizal","Highly Probable"
"OTU_498","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala castellanii","Probable","Facultative Yeast","Undefined Saprotroph","Probable"
"OTU_1358","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","unidentified","Glomeraceae sp","Highly Probable","NULL","Arbuscular Mycorrhizal","Highly Probable"
"OTU_505","Fungi","Glomeromycota","unidentified","unidentified","unidentified","unidentified","Glomeromycota sp","Highly Probable","NULL","Arbuscular Mycorrhizal","Highly Probable"
"OTU_594","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Teratosphaeriaceae","Teratosphaeria","Teratosphaeria knoxdavesii","Probable","NULL","Plant Pathogen","Probable"
"OTU_163","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","Cortinarius scaurus var. scaurus","Highly Probable","NULL","Ectomycorrhizal","Highly Probable"
"OTU_306","Fungi","Ascomycota","Leotiomycetes","Helotiales","unidentified","unidentified","Helotiales sp","-","-","-","-"
"OTU_1398","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","unidentified","Glomeraceae sp","Highly Probable","NULL","Arbuscular Mycorrhizal","Highly Probable"
"OTU_133","Fungi","Basidiomycota","Agaricomycetes","Auriculariales","unidentified","unidentified","Auriculariales sp","-","-","-","-"
"OTU_569","Fungi","Ascomycota","Dothideomycetes","unidentified","unidentified","unidentified","Dothideomycetes sp","-","-","-","-"
"OTU_303","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Lipomycetaceae","Lipomyces","Lipomyces sp","Possible","Yeast","Undefined Saprotroph","Possible"
"OTU_189","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Entoloma","Entoloma nitens","Possible","Agaricoid","Ectomycorrhizal-Saprotroph","Possible"
"OTU_453","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora","Cladophialophora sp","Probable","Facultative Yeast","Undefined Saprotroph","Probable"
"OTU_136","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Hypocrea","Hypocrea virens","Probable","NULL","Mycoparasite","Probable"
"OTU_641","Fungi","Ascomycota","Sordariomycetes","Ophiostomatales","Ophiostomataceae","Ophiostoma","Ophiostoma angusticollis","Probable","NULL","Plant Pathogen","Probable"
"OTU_684","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Cryptococcus","Cryptococcus friedmannii","Highly Probable","Yeast","Animal Pathogen-Saprotroph","Highly Probable"
"OTU_124","Fungi","Glomeromycota","unidentified","unidentified","unidentified","unidentified","Glomeromycota sp","Highly Probable","NULL","Arbuscular Mycorrhizal","Highly Probable"
"OTU_52","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","Tomentella sp","Highly Probable","Resupinate","Ectomycorrhizal","Highly Probable"
"OTU_1631","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","Tomentella sp","Highly Probable","Resupinate","Ectomycorrhizal","Highly Probable"
"OTU_447","Fungi","Ascomycota","Sordariomycetes","Incertae sedis","Annulatascaceae","Conlarium","Conlarium duplumascospora","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_398","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","unidentified","Nectriaceae sp","Possible","Mold","Undefined Saprotroph","Possible"
"OTU_375","Fungi","Zygomycota","Incertae sedis","Mortierellales","Mortierellaceae","Mortierella","Mortierella sp","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_170","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","unidentified","Glomeraceae sp","Highly Probable","NULL","Arbuscular Mycorrhizal","Highly Probable"
"OTU_208","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","unidentified","Glomeraceae sp","Highly Probable","NULL","Arbuscular Mycorrhizal","Highly Probable"
"OTU_371","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Teratosphaeriaceae","Devriesia","Devriesia sp","Probable","NULL","Plant Pathogen","Probable"
"OTU_483","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus","Rhizophagus irregularis","Highly Probable","NULL","Arbuscular Mycorrhizal","Highly Probable"
"OTU_460","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","Tomentella ellisii","Highly Probable","Resupinate","Ectomycorrhizal","Highly Probable"
"OTU_227","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus","Rhizophagus irregularis","Highly Probable","NULL","Arbuscular Mycorrhizal","Highly Probable"
"OTU_431","Fungi","Zygomycota","Incertae sedis","Mortierellales","Mortierellaceae","Mortierella","Mortierella paraensis","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_252","Fungi","Ascomycota","Dothideomycetes","unidentified","unidentified","unidentified","Dothideomycetes sp","-","-","-","-"
"OTU_368","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota sp","-","-","-","-"
"OTU_713","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora","Cladophialophora sp","Probable","Facultative Yeast","Undefined Saprotroph","Probable"
"OTU_416","Fungi","Ascomycota","Leotiomycetes","Helotiales","Sclerotiniaceae","unidentified","Sclerotiniaceae sp","-","-","-","-"
"OTU_321","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","unidentified","Glomeraceae sp","Highly Probable","NULL","Arbuscular Mycorrhizal","Highly Probable"
"OTU_860","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus","Rhizophagus irregularis","Highly Probable","NULL","Arbuscular Mycorrhizal","Highly Probable"
"OTU_546","Fungi","Ascomycota","Leotiomycetes","Helotiales","unidentified","unidentified","Helotiales sp","-","-","-","-"
"OTU_1256","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Penicillium","Penicillium chrysogenum","Probable","Facultative Yeast","Plant Pathogen","Probable"
"OTU_763","Fungi","Basidiomycota","Agaricomycetes","Boletales","Paxillaceae","Hydnomerulius","Hydnomerulius pinastri","Probable","NULL","Wood Saprotroph","Probable"
"OTU_1551","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus","Rhizophagus sp","Highly Probable","NULL","Arbuscular Mycorrhizal","Highly Probable"
"OTU_260","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Rhizoscyphus","Rhizoscyphus sp","Highly Probable","Dark Septate Endophyte","Root Associated Biotroph","Highly Probable"
"OTU_619","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","unidentified","Lasiosphaeriaceae sp","-","-","-","-"
"OTU_381","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota sp","-","-","-","-"
"OTU_268","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","unidentified","Sebacinaceae sp","-","-","-","-"
"OTU_530","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","unidentified","unidentified","Cantharellales sp","-","-","-","-"
"OTU_156","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Niaceae","Flagelloscypha","Flagelloscypha minutissima","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_678","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","unidentified","Pyronemataceae sp","-","-","-","-"
"OTU_552","Fungi","Zygomycota","Incertae sedis","Mortierellales","Mortierellaceae","Mortierella","Mortierella sp","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_329","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","unidentified","Glomeraceae sp","Highly Probable","NULL","Arbuscular Mycorrhizal","Highly Probable"
"OTU_618","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Lipomycetaceae","Lipomyces","Lipomyces sp","Possible","Yeast","Undefined Saprotroph","Possible"
"OTU_535","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota sp","-","-","-","-"
"OTU_409","Fungi","Zygomycota","Incertae sedis","Mortierellales","Mortierellaceae","Mortierella","Mortierella amoeboidea","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_451","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium sp","Probable","NULL","Plant Pathogen-Soil Saprotroph-Wood Saprotroph","Probable"
"OTU_222","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota sp","-","-","-","-"
"OTU_424","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales","Incertae sedis","Rhodotorula","Rhodotorula sp","Probable","NULL","Animal Symbiont-Undefined Saprotroph","Probable"
"OTU_112","Fungi","Ascomycota","Sordariomycetes","Chaetosphaeriales","Chaetosphaeriaceae","Codinaeopsis","Codinaeopsis sp","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_326","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora","Cladophialophora sp","Probable","Facultative Yeast","Undefined Saprotroph","Probable"
"OTU_1932","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Pichiaceae","Pichia","Pichia fermentans","Possible","Yeast","Undefined Saprotroph","Possible"
"OTU_636","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Incertae sedis","Candida","Candida humilis","Possible","Yeast","Undefined Saprotroph","Possible"
"OTU_103","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Geopora","Geopora sp","Highly Probable","NULL","Ectomycorrhizal","Highly Probable"
"OTU_588","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","Fungi sp","-","-","-","-"
"OTU_347","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","Cortinarius vernus","Highly Probable","NULL","Ectomycorrhizal","Highly Probable"
"OTU_945","Fungi","Zygomycota","Incertae sedis","Mortierellales","Mortierellaceae","Mortierella","Mortierella sp","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_728","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Inocybe lanatodisca","Highly Probable","Agaricoid","Ectomycorrhizal","Highly Probable"
"OTU_1914","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","Cortinarius sp","Highly Probable","NULL","Ectomycorrhizal","Highly Probable"
"OTU_536","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Tricholoma","Tricholoma sejunctum","Highly Probable","Agaricoid","Ectomycorrhizal","Highly Probable"
"OTU_1903","Fungi","Zygomycota","Incertae sedis","Mortierellales","Mortierellaceae","Mortierella","Mortierella schmuckeri","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_301","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Incertae sedis","Acremonium","Acremonium sp","Possible","Mold","Undefined Saprotroph","Possible"
"OTU_181","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","unidentified","Lasiosphaeriaceae sp","-","-","-","-"
"OTU_776","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","Tomentella ellisii","Highly Probable","Resupinate","Ectomycorrhizal","Highly Probable"
"OTU_533","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Embellisia","Embellisia planifunda","Probable","NULL","Plant Pathogen","Probable"
"OTU_790","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Pyrenophora","Pyrenophora phaeocomes","Probable","NULL","Plant Pathogen","Probable"
"OTU_991","Fungi","Zygomycota","Incertae sedis","Mortierellales","Mortierellaceae","Mortierella","Mortierella sp","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_508","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","unidentified","Pleosporaceae sp","-","-","-","-"
"OTU_1241","Fungi","Ascomycota","Sordariomycetes","Xylariales","unidentified","unidentified","Xylariales sp","-","-","-","-"
"OTU_138","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Coprinellus","Coprinellus micaceus","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_554","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Incertae sedis","Camarosporium","Camarosporium sp","Probable","NULL","Endophyte-Plant Pathogen","Probable"
"OTU_360","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala moniliae","Probable","Facultative Yeast","Undefined Saprotroph","Probable"
"OTU_117","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","Tomentella sp","Highly Probable","Resupinate","Ectomycorrhizal","Highly Probable"
"OTU_603","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Ceratobasidium","Ceratobasidium sp 473aPtBmS2","Possible","Resupinate","Ectomycorrhizal","Possible"
"OTU_639","Fungi","Ascomycota","Sordariomycetes","Sordariales","unidentified","unidentified","Sordariales sp","-","-","-","-"
